Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40495148,Blindness,José Saramago,"Saramago, José",Giovanni Pontiero,"=""""","=""""",4,4.16,Mariner Books,Kindle Edition,349,2013,1995,2023/06/05,2019/11/17,,,read,,,,1,0
312376,The Cocktail Party,T.S. Eliot,"Eliot, T.S.",,"=""057105188X""","=""9780571051885""",0,3.72,Faber  Faber,Paperback,167,1949,1949,,2023/03/15,to-read,to-read (#32),to-read,,,,0,0
112480,Il visconte dimezzato,Italo Calvino,"Calvino, Italo",,"=""8804370874""","=""9788804370871""",5,3.82,Mondadori,Paperback,143,1993,1952,2023/03/15,2023/01/30,,,read,,,,1,0
74954843,Tu sonrisa sin temblar,Víctor Colden,"Colden, Víctor",,"=""8418935944""","=""9788418935947""",0,3.80,Pre-Textos,Paperback,440,2022,2022,,2023/02/12,to-read,to-read (#31),to-read,,,,0,0
28407,Germinal,Émile Zola,"Zola, Émile",Roger Pearson,"=""0140447423""","=""9780140447422""",0,4.18,Penguin Classics,Paperback,592,2004,1885,,2023/01/30,to-read,to-read (#30),to-read,,,,0,0
9845790,Las reglas del caos: Apuntes para una antropología del mercado,Santiago Alba Rico,"Rico, Santiago Alba",,"=""8433905201""","=""9788433905208""",0,4.00,Anagrama,Paperback,312,2006,1995,,2023/01/17,to-read,to-read (#29),to-read,,,,0,0
71608,Se una notte d'inverno un viaggiatore,Italo Calvino,"Calvino, Italo",,"=""8804482001""","=""9788804482000""",0,4.04,Mondadori,Paperback,264,2000,1979,,2023/01/17,to-read,to-read (#28),to-read,,,,0,0
62779,Nada,Carmen Laforet,"Laforet, Carmen",,"=""1843433028""","=""9781843433026""",0,3.84,Harvill Secker,Hardcover,244,2007,1944,,2023/01/13,to-read,to-read (#27),to-read,,,,1,0
64503,"San Manuel Bueno, mártir",Miguel de Unamuno,"Unamuno, Miguel de",Víctor García de la Concha,"=""8423919102""","=""9788423919109""",0,3.90,Espasa-Calpe,Paperback,172,1991,1930,,2023/01/13,,,read,,,,1,0
61930624,Tostonazo,Santiago Lorenzo,"Lorenzo, Santiago",,"=""8419172200""","=""9788419172204""",0,3.31,Blackie Books,Hardcover,192,2022,2022,,2023/01/13,to-read,to-read (#26),to-read,,,,0,0
67006,Los renglones torcidos de Dios,Torcuato Luca de Tena,"Tena, Torcuato Luca de",,"=""9681311884""","=""9789681311889""",0,4.22,Edivision,Paperback,512,1992,1979,,2023/01/13,,,read,,,,1,0
67021,Señora de rojo sobre fondo gris,Miguel Delibes,"Delibes, Miguel",,"=""842333323X""","=""9788423333233""",0,4.14,Booket,Paperback,128,2003,1991,,2023/01/13,to-read,to-read (#25),to-read,,,,0,0
1677,Sobre héroes y tumbas,Ernesto Sábato,"Sábato, Ernesto",,"=""9500716054""","=""9789500716055""",0,4.27,Sudamericana,Paperback,547,1999,1961,,2023/01/13,to-read,to-read (#24),to-read,,,,0,0
28795508,Fin de semana en Nueva York,Josep Pla,"Pla, Josep",,"=""8423350770""","=""9788423350773""",0,4.06,Destino,Paperback,288,2016,1999,,2023/01/13,to-read,to-read (#23),to-read,,,,0,0
5314677,Bella del Señor,Albert Cohen,"Cohen, Albert",Javier Albiñana,"=""8433931008""","=""9788433931009""",0,4.10,Anagrama,Paperback,624,1985,1968,,2023/01/13,to-read,to-read (#22),to-read,,,,0,0
57795802,Falsa guerra,Carlos Manuel Álvarez,"Álvarez, Carlos Manuel",,"=""""","=""""",0,3.65,Sexto Piso,Kindle Edition,204,2021,,,2023/01/13,to-read,to-read (#21),to-read,,,,0,0
61032158,Marcelo,Guillermo Fesser,"Fesser, Guillermo",,"=""8418945265""","=""9788418945267""",0,3.72,Contraluz,Hardcover,528,2022,,,2023/01/13,to-read,to-read (#20),to-read,,,,0,0
63034,Los detectives salvajes,Roberto Bolaño,"Bolaño, Roberto",,"=""8433966634""","=""9788433966636""",0,4.16,Editorial Anagrama,Mass Market Paperback,624,2004,1998,,2023/01/13,to-read,to-read (#19),to-read,,,,0,0
114230,"Bartleby, the Scrivener: A Story of Wall Street",Herman Melville,"Melville, Herman",Jorge Luis Borges,"=""0974607800""","=""9780974607801""",4,3.93,Melville House,Paperback,64,2004,1853,,2022/06/24,,,read,,,,1,0
41587567,Los asquerosos,Santiago Lorenzo,"Lorenzo, Santiago",Guim Tió,"=""8417059997""","=""9788417059996""",0,3.81,Blackie Books,Hardcover,221,2018,2018,,2022/06/24,to-read,to-read (#18),to-read,,,,0,0
203979,The Long Loneliness: The Autobiography of the Legendary Catholic Social Activist,Dorothy Day,"Day, Dorothy",,"=""0060617519""","=""9780060617516""",0,4.01,HarperOne,Paperback,288,2009,1952,,2022/05/17,currently-reading,currently-reading (#3),currently-reading,,,,1,0
9948131,Antología bilingüe (Literatura/ Literature) (Spanish Edition),Emily Dickinson,"Dickinson, Emily",,"=""8420672440""","=""9788420672441""",0,4.00,Alianza Editorial,Paperback,304,2005,2005,,2018/12/16,to-read,to-read (#17),to-read,,,,0,0
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""""","=""""",0,4.04,Harper Perennial Modern Classics,Paperback,294,2006,1963,,2019/09/20,to-read,to-read (#16),to-read,,,,0,0
35217272,"Hola, mi amor, yo soy el lobo... y otros poemas de romanticismo feroz",Luis Alberto de Cuenca,"Cuenca, Luis Alberto de",Miguel Ángel Martín,"=""8415973888""","=""9788415973881""",0,3.40,Reino de Cordelia,Paperback,229,2016,2016,,2019/01/10,to-read,to-read (#15),to-read,,,,0,0
